Filename,Vmax,Rmax,Extent_kpc,GalaxyType
UGC02259_rotmod.dat,90.0,8.14,8.14,spiral
UGC02455_rotmod.dat,61.0,4.03,4.03,uncertain
UGC02487_rotmod.dat,383.0,30.14,80.38,super-spiral
UGC02885_rotmod.dat,305.0,1.7,74.07,super-spiral
UGC02916_rotmod.dat,218.0,8.51,38.0,super-spiral
UGC02953_rotmod.dat,319.0,8.25,62.39,super-spiral
UGC03205_rotmod.dat,237.0,5.8,40.04,super-spiral
UGC03546_rotmod.dat,262.0,0.63,29.23,super-spiral
UGC03580_rotmod.dat,131.0,21.02,27.06,spiral
UGC04278_rotmod.dat,92.8,6.69,6.69,spiral
UGC04305_rotmod.dat,37.3,2.01,5.52,uncertain
UGC04325_rotmod.dat,92.7,4.89,5.59,spiral
UGC04483_rotmod.dat,24.3,1.05,1.21,dwarf
UGC04499_rotmod.dat,74.3,8.18,8.18,spiral
UGC05005_rotmod.dat,100.0,22.72,28.61,spiral
UGC05253_rotmod.dat,248.0,3.55,53.29,super-spiral
UGC05414_rotmod.dat,61.4,4.11,4.11,uncertain
UGC05716_rotmod.dat,74.7,12.37,12.37,spiral
UGC05721_rotmod.dat,82.6,1.89,6.74,spiral
UGC05750_rotmod.dat,78.9,22.85,22.85,spiral
UGC05764_rotmod.dat,55.8,2.54,3.62,uncertain
UGC05829_rotmod.dat,68.6,6.91,6.91,spiral
UGC05918_rotmod.dat,44.5,4.46,4.46,dwarf
UGC05986_rotmod.dat,116.0,5.65,9.41,spiral
UGC05999_rotmod.dat,100.0,16.22,16.22,spiral
UGC06399_rotmod.dat,87.6,7.85,7.85,spiral
UGC06446_rotmod.dat,84.9,8.28,10.22,spiral
UGC06614_rotmod.dat,205.0,47.38,64.59,super-spiral
UGC06628_rotmod.dat,42.3,5.5,7.69,uncertain
UGC06667_rotmod.dat,85.7,7.85,7.85,spiral
UGC06786_rotmod.dat,229.0,12.78,34.05,super-spiral
UGC06787_rotmod.dat,276.0,0.59,37.19,super-spiral
UGC06818_rotmod.dat,74.4,6.98,6.98,spiral
UGC06917_rotmod.dat,111.0,10.47,10.47,spiral
UGC06923_rotmod.dat,81.1,5.16,5.16,spiral
UGC06930_rotmod.dat,109.0,12.19,16.61,spiral
UGC06973_rotmod.dat,180.0,7.85,7.85,spiral
UGC06983_rotmod.dat,113.0,10.47,15.68,spiral
UGC07089_rotmod.dat,79.1,9.16,9.16,spiral
UGC07125_rotmod.dat,65.6,13.0,18.68,spiral
UGC07151_rotmod.dat,76.2,5.5,5.5,spiral
UGC07232_rotmod.dat,44.0,0.82,0.82,dwarf
UGC07261_rotmod.dat,76.1,6.67,6.67,spiral
UGC07323_rotmod.dat,85.6,5.82,5.82,spiral
UGC07399_rotmod.dat,106.0,6.13,6.13,spiral
UGC07524_rotmod.dat,83.8,10.35,10.69,spiral
UGC07559_rotmod.dat,32.1,2.53,2.53,dwarf
UGC07577_rotmod.dat,17.8,1.69,1.69,dwarf
UGC07603_rotmod.dat,64.0,4.11,4.11,uncertain
UGC07608_rotmod.dat,69.3,4.78,4.78,uncertain
UGC07690_rotmod.dat,60.7,1.77,4.13,uncertain
UGC07866_rotmod.dat,33.1,2.32,2.32,dwarf
UGC08286_rotmod.dat,84.3,8.04,8.04,spiral
UGC08490_rotmod.dat,80.1,5.75,10.15,spiral
UGC08550_rotmod.dat,57.8,4.39,5.36,spiral
UGC08699_rotmod.dat,202.0,1.52,25.7,super-spiral
UGC08837_rotmod.dat,48.0,4.2,4.2,dwarf
UGC09037_rotmod.dat,160.0,19.46,27.96,spiral
UGC09133_rotmod.dat,289.0,9.78,108.31,super-spiral
UGC09992_rotmod.dat,34.3,3.89,3.89,dwarf
UGC10310_rotmod.dat,73.2,7.74,7.74,spiral
UGC11455_rotmod.dat,291.0,16.63,41.93,super-spiral
UGC11557_rotmod.dat,85.0,5.94,10.56,spiral
UGC11820_rotmod.dat,84.45,15.82,15.82,spiral
UGC11914_rotmod.dat,305.0,9.83,9.83,uncertain
UGC12506_rotmod.dat,255.0,23.77,49.99,super-spiral
UGC12632_rotmod.dat,73.2,9.25,10.66,spiral
UGC12732_rotmod.dat,98.0,15.4,15.4,spiral
UGCA281_rotmod.dat,29.5,1.08,1.08,dwarf
UGCA442_rotmod.dat,57.8,5.48,6.33,spiral
UGCA444_rotmod.dat,38.3,2.62,2.62,dwarf
