Galaxy,Type,GEODESIC_chi2,GEODESIC_AIC,GEODESIC_BIC,MOND_chi2,MOND_AIC,MOND_BIC
NGC1003,spiral,53.69629022207077,1881.3701577724771,1882.9536767109332,43.83801203431748,1536.3304212011117,1537.9139401395678
NGC1090,spiral,112.67583246945334,2593.544146797427,2594.722200627775,246.94690957813356,5681.778920297072,5682.95697412742
NGC1705,spiral,25.53265365511379,333.9244975164793,334.5635548460945,28.76433098278975,375.93630277626676,376.575360105882
NGC2366,spiral,35.51058633730108,889.7646584325269,891.0227549705484,83.64254693384589,2093.0636733461474,2094.321769884169
NGC2403,spiral,60.12430634902213,4330.950057129593,4333.240516570741,92.59354403012817,6668.735170169229,6671.025629610377
NGC2683,super-spiral,75.33673739004882,755.3673739004882,755.7652691732866,21.308866714926374,215.08866714926376,215.48656242206212
NGC2841,super-spiral,109.75042089210903,5379.7706237133425,5381.68264671877,43.462513533616,2131.6631631471837,2133.575186152612
NGC2903,super-spiral,88.97778415011832,2938.2668769539046,2939.7932374785205,176.4464062621599,5824.731406651277,5826.257767175894
NGC2915,spiral,46.63893727367325,1354.5291809365242,1355.9303783181863,81.2066843455573,2356.993846021162,2358.3950434028243
NGC2955,super-spiral,107.57009204318187,2476.112116993183,2477.290170823531,95.12808095567783,2189.94586198059,2191.123915810938
NGC2976,uncertain,41.54127147047701,1082.0730582324022,1083.3688950984065,75.55589766007091,1966.4533391618438,1967.749176027848
NGC2998,super-spiral,92.72448155181792,1114.693778621815,1115.2587279792765,145.56699676561672,1748.8039611874008,1749.3689105448623
NGC3109,spiral,37.752864748850556,908.0687539724133,909.2876297972815,70.57520688610241,1695.8049652664579,1697.0238410913262
NGC3198,spiral,83.92020490996121,3526.6486062183712,3528.409806334065,134.2373766847269,5639.96982075853,5641.731020874224
NGC3521,super-spiral,58.370704658913894,2336.8281863565558,2338.54175842326,49.87907902177186,1997.1631608708744,1998.8767329375787
NGC3726,spiral,74.48940784789039,821.3834863267942,821.8683929765822,36.8409226494372,407.25014914380927,407.73505579359727
NGC3741,spiral,20.160419625126735,405.2083925025347,406.2529149402581,25.45303240070027,511.0606480140054,512.1051704517288
NGC3769,spiral,53.474030566299,590.214336229289,590.6992428790769,34.84103858229159,385.2514244052075,385.7363310549955
NGC3877,spiral,100.82897066223437,1211.9476479468124,1212.5125973042739,127.64186746537149,1533.7024095844579,1534.2673589419194
NGC3893,spiral,77.78232816871372,702.0409535184235,702.3435386114176,40.35545809176066,365.19912282584596,365.50170791884
NGC3917,spiral,84.50208599526391,1354.0333759242226,1354.8665892682789,121.3336435270823,1943.3382964333168,1944.171509777373
NGC3949,spiral,69.9365939372105,421.61956362326305,421.56547377231834,20.201457703898303,123.20874622338982,123.15465637244513
NGC3953,super-spiral,78.79680553371215,553.577638735985,553.6570802776648,24.312106579258813,172.18474605481168,172.26418759649152
NGC3972,spiral,61.722699955864556,557.504299602781,557.806884695775,67.2213765887566,606.9923892988094,607.2949743918034
NGC3992,super-spiral,119.23624162683953,955.8899330147162,956.0871575920524,17.772739447044025,144.1819155763522,144.3791401536884
NGC4010,spiral,60.633212974282394,668.9653427171063,669.4502493668942,63.39741915251307,699.3716106776438,699.8565173274318
NGC4013,spiral,81.07660937176213,2839.681328011675,2841.264846950131,8.128169233914846,286.48592318701964,288.06944212547575
NGC4051,spiral,77.01486263694164,464.08917582164986,464.03508597070515,31.921834084028106,193.53100450416864,193.47691465322396
NGC4068,dwarf,25.018132915064086,127.09066457532043,126.88242404454849,41.92846673635284,211.6423336817642,211.43409315099225
NGC4085,spiral,72.20492028518646,435.22952171111876,435.17543186017406,72.24367501555807,435.4620500933484,435.4079602424037
NGC4088,spiral,82.52615620590355,909.787718264939,910.272624914727,66.9224452420715,738.1468976627866,738.6318043125746
